trial,features,formula,f1_class0,f1_class1,f1_class2,f1_macro
42,payment_interval;interaction_per_freq,log(payment_interval),0.6359979889391654,0.0,0.3371198241113961,0.32437260435018717
43,interaction_per_freq;renewal_pressure,log(interaction_per_freq),0.6219105644326934,0.012918379330593071,0.08753861997940268,0.24078918791422974
44,contract_length;interaction_rate,log(contract_length),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
45,gender;tenure,(freq(gender) - tenure),0.6311051091604771,0.0,0.054474708171206226,0.2285266057772278
46,interaction_per_freq;is_high_payment_interval,(interaction_per_freq)^2,0.6219105644326934,0.012918379330593071,0.08753861997940268,0.24078918791422974
47,vip_low_interaction;subscription_code;is_high_payment_interval,((vip_low_interaction - subscription_code) / is_high_payment_interval),0.6158619833684994,0.0,0.258751902587519,0.2915379619853395
48,is_high_payment_interval;contract_ratio;new_inactive;interaction_rate,log((sqrt(is_high_payment_interval))^2),0.606919095614274,0.0,0.36972778941070894,0.3255489616749943
49,subscription_type;renewal_pressure,(freq(subscription_type) + renewal_pressure),0.6347408592884403,0.011750881316098707,0.2818578801111552,0.30944987357189807
50,older_and_member;short_tenure_high_interval;new_inactive;renewal_pressure;frequent,(((log(older_and_member) * new_inactive) + renewal_pressure) - frequent),0.6271610555050046,0.03718309859154929,0.038266741699493526,0.2342036319320158
51,payment_per_freq;payment_freq_alignment,log(payment_per_freq),0.6228687254083701,0.016045845272206302,0.1763110307414105,0.27174186714066234
52,freq_per_tenure;is_older_group,log(freq_per_tenure),0.6251982778155449,0.03540833809251856,0.03395585738539898,0.23152082443115415
53,gender_age_group;subscription_code,log(gender_age_group),0.633303808680248,0.0,0.0,0.21110126956008268
54,older_and_member;is_high_interaction,(older_and_member)^2,0.633303808680248,0.0,0.0,0.21110126956008268
55,vip_low_interaction;subscription_code,log(vip_low_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
56,interaction_per_freq;usage_cluster;contract_ratio,sqrt(sqrt(interaction_per_freq)),0.6219105644326934,0.012918379330593071,0.08753861997940268,0.24078918791422974
57,subscription_code;short_tenure_high_interval;after_interaction;payment_interval,(((subscription_code / short_tenure_high_interval) + after_interaction) - payment_interval),0.6297107295148092,0.0,0.14442231075697212,0.25804434675726046
58,is_low_frequency;frequent,log(is_low_frequency),0.633303808680248,0.0,0.0,0.21110126956008268
59,gender;vip_low_interaction,(freq(gender) - vip_low_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
60,tenure;new_inactive;older_and_member;vip_inactive,(log(log(tenure)) - vip_inactive),0.6310570205093532,0.00834326579261025,0.05133928571428571,0.23024652400541637
61,older_and_member;is_low_frequency;frequent,sqrt(sqrt(older_and_member)),0.633303808680248,0.0,0.0,0.21110126956008268
62,age;payment_interval;contract_length,sqrt((age - payment_interval)),0.6322081575246132,0.003590664272890485,0.18309201307800094,0.2729636116251682
63,after_interaction;contract_ratio,sqrt(after_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
64,short_tenure_high_interval;subscription_code;interaction_rate;renewal_pressure,(sqrt(sqrt(short_tenure_high_interval)) - renewal_pressure),0.6358265241986172,0.01066982809721399,0.3182827535159141,0.32159303527058175
65,is_older_group;frequent;subscription_code;contract_ratio,(sqrt(log(is_older_group)) - contract_ratio),0.6341329677861549,0.08590885280251441,0.40063694267515926,0.37355958775460946
66,older_low_contract;contract_ratio;is_high_payment_interval;older_and_member,(sqrt(log(older_low_contract)) - older_and_member),0.6369656833232992,0.0,0.26134453781512607,0.2994367403794751
67,freq_per_tenure;older_low_contract;after_interaction;tenure,((log(freq_per_tenure))^2 - tenure),0.6260375213189312,0.02192729371032891,0.05286343612334802,0.23360941705086935
68,new_inactive;tenure;frequent;payment_interval;age,log(((log(new_inactive) + frequent) - payment_interval)),0.6336390069335719,0.005973715651135006,0.04513888888888889,0.22825053715786525
69,older_and_member;is_older_group;is_long_contract;interaction_per_freq,(log((older_and_member / is_older_group)) * interaction_per_freq),0.6276483670841625,0.09841107124551512,0.0681081081081081,0.2647225154792619
70,subscription_type;new_inactive,(freq(subscription_type) * new_inactive),0.633303808680248,0.0,0.0,0.21110126956008268
71,is_low_frequency;renewal_pressure;freq_per_tenure;frequent,sqrt(sqrt((is_low_frequency + renewal_pressure))),0.6352680767338909,0.018604651162790697,0.2752808988764045,0.3097178755910287
72,payment_per_freq;after_interaction;age;is_high_payment_interval,(sqrt((payment_per_freq * after_interaction)) + is_high_payment_interval),0.6183737107219957,0.016231884057971015,0.1841297676457694,0.27291178747524536
73,short_tenure_high_interval;is_older_group;renewal_pressure;payment_interval,log(sqrt(log(short_tenure_high_interval))),0.6291768541157294,0.0,0.15935114503816794,0.26284266638463244
74,interaction_rate;vip_inactive,log(interaction_rate),0.6219105644326934,0.012918379330593071,0.08753861997940268,0.24078918791422974
75,gender_age_group;interaction_per_freq;payment_per_freq,((gender_age_group / interaction_per_freq) - payment_per_freq),0.6219105644326934,0.035614913745130775,0.06277056277056277,0.24009868031612902
76,interaction_per_freq;older_and_member;is_high_interaction;after_interaction,(log((interaction_per_freq)^2) / after_interaction),0.6209528214616096,0.06417112299465241,0.047097480832420595,0.24407380842956086
77,vip_inactive;payment_interval;freq_per_tenure;contract_ratio,((log(vip_inactive) * freq_per_tenure))^2,0.6244870041039672,0.039503386004514675,0.044444444444444446,0.2361449448509754
78,interaction_rate;is_long_contract,log(interaction_rate),0.6219105644326934,0.012918379330593071,0.08753861997940268,0.24078918791422974
79,is_low_frequency;after_interaction;contract_length,sqrt(sqrt(is_low_frequency)),0.633303808680248,0.0,0.0,0.21110126956008268
80,new_inactive;freq_per_tenure;vip_low_interaction;payment_interval,((log(new_inactive) / vip_low_interaction) - payment_interval),0.6359180595701898,0.0,0.33651026392961875,0.32414277449993617
81,is_high_payment_interval;payment_freq_alignment;usage_cluster;interaction_rate,log((sqrt(is_high_payment_interval))^2),0.606919095614274,0.0,0.36972778941070894,0.3255489616749943
82,tenure;subscription_code;payment_interval;vip_inactive,log((sqrt(tenure))^2),0.633303808680248,0.0,0.0,0.21110126956008268
83,is_high_payment_interval;subscription_code;payment_freq_alignment;tenure,sqrt((sqrt(is_high_payment_interval))^2),0.606919095614274,0.0,0.36972778941070894,0.3255489616749943
84,tenure;renewal_pressure;gender_age_group;older_and_member,log(((tenure + renewal_pressure))^2),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
85,contract_length;is_long_contract,(contract_length + is_long_contract),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
86,is_long_contract;payment_interval,(is_long_contract + payment_interval),0.6373460668509676,0.0,0.3359002566923359,0.32441544118110116
87,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
88,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
89,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
90,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
91,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
92,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
93,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
94,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
95,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
96,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
97,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
98,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
