trial,formula,used_features,f1_macro,metric
64,(gender_age_group / test_1),gender_age_group|test_1,0.4996,0.4996
65,(log(test_3) / payment_interval),test_3|freq_per_tenure|payment_interval,0.5014,0.5014
66,log(vip_low_interaction),vip_low_interaction|new_inactive,0.5008,0.5008
67,log((log(interaction_per_freq) / gender_age_group)),interaction_per_freq|tenure|gender_age_group|test_3,0.4992,0.4992
68,(log(interaction_rate) / after_interaction),interaction_rate|contract_ratio|after_interaction,0.4990,0.4990
69,(freq(subscription_type) + gender_age_group),subscription_type|gender_age_group,0.5002,0.5002
70,(older_low_contract - gender_age_group),older_low_contract|gender_age_group,0.5008,0.5008
71,log((freq_per_tenure * test_3)),freq_per_tenure|test_3|payment_per_freq,0.5006,0.5006
72,((is_older_group)^2 / age),is_older_group|gender_age_group|age,0.4983,0.4983
73,sqrt((payment_per_freq + tenure)),payment_per_freq|tenure|payment_interval,0.5004,0.5004
74,(sqrt((payment_interval * new_inactive)) * usage_cluster),payment_interval|new_inactive|after_interaction|usage_cluster,0.5008,0.5008
75,log(tenure),tenure|payment_per_freq,0.5008,0.5008
77,(freq(gender) - payment_interval),gender|payment_interval,0.4953,0.4953
78,((sqrt(is_older_group) / test_1) - payment_interval),is_older_group|age|test_1|payment_interval,0.4991,0.4991
79,(freq(gender) * usage_cluster),gender|usage_cluster,0.4995,0.4995
80,log((gender_age_group / freq_per_tenure)),gender_age_group|freq_per_tenure|interaction_rate,0.4999,0.4999
81,log((contract_ratio)^2),contract_ratio|renewal_pressure|is_older_group,0.5008,0.5008
82,log((renewal_pressure)^2),renewal_pressure|after_interaction|gender_age_group,0.5008,0.5008
83,log((after_interaction)^2),after_interaction|age|contract_ratio,0.5008,0.5008
84,(((age - new_inactive))^2 + older_low_contract),age|new_inactive|test_2|older_low_contract,0.4996,0.4996
85,(freq(gender) / interaction_rate),gender|interaction_rate,0.4966,0.4966
86,(freq(subscription_type) + test_3),subscription_type|test_3,0.5008,0.5008
87,sqrt((((age)^2 + older_low_contract) / contract_length)),age|usage_cluster|older_low_contract|contract_length|renewal_pressure,0.5003,0.5003
89,(frequent + vip_low_interaction),frequent|vip_low_interaction,0.4997,0.4997
90,(freq(gender) + contract_ratio),gender|contract_ratio,0.4977,0.4977
94,(freq(gender) + payment_per_freq),gender|payment_per_freq,0.4974,0.4974
95,(freq(gender) / is_high_interaction),gender|is_high_interaction,0.4996,0.4996
97,(log(contract_ratio) - test_2),contract_ratio|usage_cluster|test_2,0.4987,0.4987
98,(freq(gender) - new_inactive),gender|new_inactive,0.4996,0.4996
99,(freq(gender) * age),gender|age,0.4996,0.4996
100,((sqrt(usage_cluster) * tenure))^2,usage_cluster|payment_per_freq|tenure|interaction_per_freq,0.5003,0.5003
102,(freq(gender) * renewal_pressure),gender|renewal_pressure,0.4998,0.4998
104,(freq(gender) * older_low_contract),gender|older_low_contract,0.5008,0.5008
105,(freq(subscription_type) / contract_length),subscription_type|contract_length,0.5008,0.5008
107,(frequent * contract_length),frequent|contract_length,0.5011,0.5011
108,(after_interaction * contract_length),after_interaction|contract_length,0.4998,0.4998
109,sqrt(vip_low_interaction),vip_low_interaction|interaction_rate,0.5008,0.5008
110,(gender_age_group * frequent),gender_age_group|frequent,0.4994,0.4994
111,((freq_per_tenure * payment_per_freq) - renewal_pressure),freq_per_tenure|payment_per_freq|renewal_pressure,0.5008,0.5008
112,(age * vip_low_interaction),age|vip_low_interaction,0.5008,0.5008
113,((interaction_per_freq - is_older_group) / usage_cluster),interaction_per_freq|is_older_group|usage_cluster,0.5004,0.5004
114,(freq(gender) * interaction_per_freq),gender|interaction_per_freq,0.4995,0.4995
115,(sqrt(sqrt((is_older_group / payment_per_freq))) * renewal_pressure),is_older_group|payment_per_freq|payment_interval|freq_per_tenure|renewal_pressure,0.4967,0.4967
116,(freq(gender) / test_2),gender|test_2,0.5008,0.5008
117,(older_low_contract)^2,older_low_contract|interaction_rate,0.5008,0.5008
118,(freq(gender) - vip_low_interaction),gender|vip_low_interaction,0.4982,0.4982
119,log(sqrt(vip_low_interaction)),vip_low_interaction|older_low_contract|gender_age_group,0.5008,0.5008
120,(freq(gender) + is_older_group),gender|is_older_group,0.5008,0.5008
121,(((is_older_group * test_3) * contract_ratio) / test_2),is_older_group|test_3|contract_ratio|test_2,0.4970,0.4970
122,(((is_high_interaction * interaction_rate) * payment_per_freq) / after_interaction),is_high_interaction|interaction_rate|payment_per_freq|after_interaction,0.5005,0.5005
123,((log(usage_cluster) * age) / new_inactive),usage_cluster|tenure|age|new_inactive,0.5008,0.5008
124,(older_low_contract * interaction_rate),older_low_contract|interaction_rate,0.5008,0.5008
125,(((payment_per_freq / freq_per_tenure) * renewal_pressure) / payment_interval),payment_per_freq|freq_per_tenure|renewal_pressure|payment_interval,0.5005,0.5005
126,((payment_per_freq + test_3))^2,payment_per_freq|test_3|is_older_group,0.4993,0.4993
127,(freq(subscription_type) / freq_per_tenure),subscription_type|freq_per_tenure,0.5008,0.5008
128,(log(test_1) + older_low_contract),test_1|age|older_low_contract,0.5008,0.5008
130,(((sqrt(is_high_interaction) / test_1))^2)^2,is_high_interaction|contract_length|test_1|test_2|payment_per_freq,0.4995,0.4995
131,sqrt(contract_length),contract_length|is_older_group,0.5008,0.5008
132,sqrt(interaction_rate),interaction_rate|interaction_per_freq,0.5008,0.5008
133,sqrt(payment_per_freq),payment_per_freq|new_inactive,0.5008,0.5008
134,(frequent / test_1),frequent|test_1,0.4996,0.4996
136,(interaction_rate * freq_per_tenure),interaction_rate|freq_per_tenure,0.4984,0.4984
138,sqrt(sqrt(new_inactive)),new_inactive|is_high_interaction|usage_cluster,0.5008,0.5008
140,((usage_cluster)^2 * is_older_group),usage_cluster|after_interaction|is_older_group,0.4998,0.4998
141,sqrt(test_2),test_2|after_interaction,0.5008,0.5008
142,sqrt(after_interaction),after_interaction|gender_age_group,0.5008,0.5008
143,log(is_older_group),is_older_group|age,0.5008,0.5008
145,(freq_per_tenure / vip_low_interaction),freq_per_tenure|vip_low_interaction,0.5003,0.5003
146,(freq(subscription_type) / older_low_contract),subscription_type|older_low_contract,0.5008,0.5008
147,((gender_age_group - interaction_per_freq))^2,gender_age_group|interaction_per_freq|new_inactive,0.5002,0.5002
149,(contract_ratio + payment_per_freq),contract_ratio|payment_per_freq,0.5005,0.5005
150,(freq(gender) - usage_cluster),gender|usage_cluster,0.4955,0.4955
151,(((after_interaction)^2)^2)^2,after_interaction|test_1|payment_per_freq|tenure,0.5008,0.5008
153,(((usage_cluster)^2)^2)^2,usage_cluster|tenure|frequent|contract_length,0.5008,0.5008
154,((payment_per_freq)^2 / contract_length),payment_per_freq|is_older_group|contract_length,0.5010,0.5010
155,((is_high_interaction * frequent) / vip_low_interaction),is_high_interaction|frequent|vip_low_interaction,0.5008,0.5008
156,((is_high_interaction)^2 / payment_interval),is_high_interaction|tenure|payment_interval,0.4997,0.4997
157,(freq(gender) * contract_ratio),gender|contract_ratio,0.5008,0.5008
158,(sqrt(contract_ratio) / is_high_interaction),contract_ratio|test_1|is_high_interaction,0.4999,0.4999
159,sqrt(log(test_2)),test_2|interaction_rate|gender_age_group,0.5008,0.5008
160,(freq(gender) + interaction_rate),gender|interaction_rate,0.4978,0.4978
161,(((freq_per_tenure)^2 / tenure) + usage_cluster),freq_per_tenure|test_2|tenure|usage_cluster,0.4996,0.4996
162,sqrt(log((test_3)^2)),test_3|age|is_high_interaction|gender_age_group,0.5008,0.5008
163,sqrt((new_inactive)^2),new_inactive|interaction_per_freq|test_2,0.5008,0.5008
164,(is_older_group / tenure),is_older_group|tenure,0.4976,0.4976
165,((freq_per_tenure * payment_per_freq) - after_interaction),freq_per_tenure|payment_per_freq|after_interaction,0.4978,0.4978
166,(freq(subscription_type) / test_3),subscription_type|test_3,0.5004,0.5004
167,(((test_2)^2 + contract_length) - test_3),test_2|renewal_pressure|contract_length|test_3,0.4995,0.4995
168,(sqrt(older_low_contract) / freq_per_tenure),older_low_contract|payment_interval|freq_per_tenure,0.5008,0.5008
169,(freq(gender) - frequent),gender|frequent,0.4987,0.4987
170,(contract_length * test_1),contract_length|test_1,0.5008,0.5008
171,sqrt(log(frequent)),frequent|after_interaction|freq_per_tenure,0.5008,0.5008
173,sqrt(log(vip_low_interaction)),vip_low_interaction|interaction_per_freq|freq_per_tenure,0.5008,0.5008
174,log(log(test_2)),test_2|is_older_group|age,0.5008,0.5008
175,(is_older_group)^2,is_older_group|payment_interval,0.5008,0.5008
177,(sqrt((test_1 - gender_age_group)) * interaction_per_freq),test_1|gender_age_group|renewal_pressure|interaction_per_freq,0.4999,0.4999
179,((older_low_contract / is_older_group) / after_interaction),older_low_contract|is_older_group|after_interaction,0.5008,0.5008
180,sqrt(usage_cluster),usage_cluster|tenure,0.5008,0.5008
186,(freq(gender) - age),gender|age,0.4992,0.4992
187,log((usage_cluster + freq_per_tenure)),usage_cluster|freq_per_tenure|contract_ratio,0.4996,0.4996
188,(freq(gender) / gender_age_group),gender|gender_age_group,0.4992,0.4992
189,(log((log(is_older_group) * test_3)) / interaction_per_freq),is_older_group|tenure|test_3|renewal_pressure|interaction_per_freq,0.4998,0.4998
193,(freq(gender) - renewal_pressure),gender|renewal_pressure,0.4978,0.4978
195,(new_inactive * after_interaction),new_inactive|after_interaction,0.5008,0.5008
196,(freq(gender) * after_interaction),gender|after_interaction,0.4981,0.4981
197,((sqrt(payment_per_freq))^2)^2,payment_per_freq|age|renewal_pressure|new_inactive,0.5008,0.5008
198,(freq(gender) - contract_length),gender|contract_length,0.5008,0.5008
199,((gender_age_group)^2 - frequent),gender_age_group|tenure|frequent,0.4998,0.4998
200,(new_inactive / age),new_inactive|age,0.5008,0.5008
207,(contract_ratio * usage_cluster),contract_ratio|usage_cluster,0.4999,0.4999
208,(sqrt(sqrt(older_low_contract)) * tenure),older_low_contract|usage_cluster|frequent|tenure,0.5008,0.5008
209,(freq(subscription_type) + vip_low_interaction),subscription_type|vip_low_interaction,0.5003,0.5003
210,(log(contract_length) / renewal_pressure),contract_length|is_older_group|renewal_pressure,0.4991,0.4991
211,log(contract_length),contract_length|payment_per_freq,0.5008,0.5008
212,log(interaction_per_freq),interaction_per_freq|payment_per_freq,0.5008,0.5008
214,(interaction_per_freq)^2,interaction_per_freq|test_2,0.5008,0.5008
216,(freq(gender) * freq_per_tenure),gender|freq_per_tenure,0.4997,0.4997
217,((is_high_interaction - test_1) + contract_ratio),is_high_interaction|test_1|contract_ratio,0.4995,0.4995
218,(new_inactive * is_high_interaction),new_inactive|is_high_interaction,0.5008,0.5008
220,((log(test_1) * renewal_pressure) / older_low_contract),test_1|interaction_rate|renewal_pressure|older_low_contract,0.5008,0.5008
221,(test_3 - tenure),test_3|tenure,0.5003,0.5003
222,(freq_per_tenure - tenure),freq_per_tenure|tenure,0.4993,0.4993
223,(payment_interval - tenure),payment_interval|tenure,0.5002,0.5002
224,(test_1)^2,test_1|freq_per_tenure,0.5008,0.5008
225,sqrt(older_low_contract),older_low_contract|is_older_group,0.5008,0.5008
226,(freq(gender) / test_1),gender|test_1,0.4965,0.4965
227,log((older_low_contract / test_1)),older_low_contract|test_1|vip_low_interaction,0.5008,0.5008
230,((usage_cluster + gender_age_group))^2,usage_cluster|gender_age_group|age,0.4995,0.4995
231,(sqrt((age * is_high_interaction)) * freq_per_tenure),age|is_high_interaction|is_older_group|freq_per_tenure,0.4999,0.4999
232,(sqrt((contract_length * after_interaction)) * vip_low_interaction),contract_length|after_interaction|freq_per_tenure|vip_low_interaction,0.5008,0.5008
233,(sqrt((contract_length * vip_low_interaction)) * older_low_contract),contract_length|vip_low_interaction|contract_ratio|older_low_contract,0.5008,0.5008
234,(sqrt((interaction_per_freq * test_1)) * freq_per_tenure),interaction_per_freq|test_1|payment_interval|freq_per_tenure,0.5006,0.5006
235,(freq(gender) * tenure),gender|tenure,0.4997,0.4997
236,((log(gender_age_group) / frequent) + after_interaction),gender_age_group|payment_interval|frequent|after_interaction,0.4994,0.4994
237,(sqrt(test_2) * frequent),test_2|contract_length|frequent,0.5005,0.5005
238,(freq(subscription_type) - new_inactive),subscription_type|new_inactive,0.5001,0.5001
239,(payment_interval * is_high_interaction),payment_interval|is_high_interaction,0.4997,0.4997
240,(freq(gender) + payment_interval),gender|payment_interval,0.4954,0.4954
241,log(renewal_pressure),renewal_pressure|freq_per_tenure,0.5008,0.5008
242,log(test_3),test_3|frequent,0.5008,0.5008
244,(test_2)^2,test_2|is_older_group,0.5008,0.5008
245,(test_3 - contract_ratio),test_3|contract_ratio,0.4993,0.4993
246,sqrt(log(payment_interval)),payment_interval|renewal_pressure|frequent,0.5008,0.5008
248,log(log((test_1 / interaction_rate))),test_1|interaction_rate|contract_ratio|interaction_per_freq,0.5008,0.5008
251,((test_3)^2)^2,test_3|usage_cluster|interaction_per_freq,0.5008,0.5008
252,(freq(gender) * test_3),gender|test_3,0.4977,0.4977
254,(freq(gender) / contract_ratio),gender|contract_ratio,0.5008,0.5008
255,sqrt(((usage_cluster * vip_low_interaction) / gender_age_group)),usage_cluster|vip_low_interaction|gender_age_group|test_2,0.5008,0.5008
256,sqrt(is_older_group),is_older_group|contract_length,0.5008,0.5008
258,(((log(test_1) - contract_ratio) - payment_interval) - frequent),test_1|interaction_rate|contract_ratio|payment_interval|frequent,0.4996,0.4996
260,((is_older_group)^2 * tenure),is_older_group|payment_per_freq|tenure,0.4991,0.4991
261,sqrt((new_inactive * age)),new_inactive|age|test_2,0.5008,0.5008
263,(vip_low_interaction / test_2),vip_low_interaction|test_2,0.5008,0.5008
264,(freq(gender) * vip_low_interaction),gender|vip_low_interaction,0.5008,0.5008
265,sqrt(age),age|frequent,0.5008,0.5008
266,(((gender_age_group - new_inactive) + tenure) / test_2),gender_age_group|new_inactive|tenure|test_2,0.5001,0.5001
268,((test_2 + after_interaction) / age),test_2|after_interaction|age,0.5009,0.5009
269,((test_2 + payment_interval) / older_low_contract),test_2|payment_interval|older_low_contract,0.5008,0.5008
270,(freq(gender) - is_high_interaction),gender|is_high_interaction,0.4949,0.4949
271,((freq_per_tenure + interaction_rate) / test_2),freq_per_tenure|interaction_rate|test_2,0.4994,0.4994
272,((new_inactive)^2 / contract_length),new_inactive|payment_interval|contract_length,0.5008,0.5008
274,((freq_per_tenure + test_3) / usage_cluster),freq_per_tenure|test_3|usage_cluster,0.5001,0.5001
