trial,formula,used_features,f1_macro,metric
28,log((gender_age_group + test_4)),gender_age_group|test_4|test_3,0.5012,0.5012
29,(usage_cluster / is_older_group),usage_cluster|is_older_group,0.5023,0.5023
30,(freq(gender) + contract_length),gender|contract_length,0.4985,0.4985
31,sqrt(test_7),test_7|test_9,0.5049,0.5049
32,sqrt(older_low_contract),older_low_contract|test_2,0.5049,0.5049
33,(sqrt(older_low_contract))^2,older_low_contract|frequent|vip_low_interaction,0.5049,0.5049
34,(renewal_pressure - age),renewal_pressure|age,0.5033,0.5033
35,(sqrt(tenure) - new_inactive),tenure|test_12|new_inactive,0.5031,0.5031
36,sqrt(test_6),test_6|contract_ratio,0.5049,0.5049
37,(sqrt(sqrt(usage_cluster)) - test_3),usage_cluster|is_high_interaction|tenure|test_3,0.5013,0.5013
38,(freq(gender) / after_interaction),gender|after_interaction,0.4964,0.4964
39,(log(payment_per_freq) / test_8),payment_per_freq|freq_per_tenure|test_8,0.4988,0.4988
40,(test_5 + renewal_pressure),test_5|renewal_pressure,0.5005,0.5005
41,(older_low_contract)^2,older_low_contract|test_7,0.5049,0.5049
42,(test_5)^2,test_5|older_low_contract,0.5016,0.5016
43,(new_inactive)^2,new_inactive|after_interaction,0.5049,0.5049
44,((test_12)^2 * interaction_per_freq),test_12|freq_per_tenure|interaction_per_freq,0.5049,0.5049
45,((test_10 / test_5) * test_9),test_10|test_5|test_9,0.4985,0.4985
46,((test_6 - usage_cluster) * test_5),test_6|usage_cluster|test_5,0.5015,0.5015
47,((test_2 * gender_age_group) * after_interaction),test_2|gender_age_group|after_interaction,0.4982,0.4982
48,(freq(subscription_type) / interaction_per_freq),subscription_type|interaction_per_freq,0.5020,0.5020
49,(((tenure / interaction_per_freq) * test_9))^2,tenure|interaction_per_freq|test_9|interaction_rate,0.5029,0.5029
50,sqrt((test_10 * payment_interval)),test_10|payment_interval|tenure,0.5001,0.5001
51,(interaction_per_freq)^2,interaction_per_freq|gender_age_group,0.5049,0.5049
52,(test_8)^2,test_8|test_9,0.5049,0.5049
53,(tenure)^2,tenure|gender_age_group,0.5049,0.5049
54,(is_high_interaction)^2,is_high_interaction|test_11,0.5049,0.5049
55,(freq(gender) - test_10),gender|test_10,0.4996,0.4996
56,(log((sqrt(payment_interval) - interaction_per_freq)))^2,payment_interval|gender_age_group|interaction_per_freq|payment_per_freq|after_interaction,0.4997,0.4997
57,(freq(gender) * test_11),gender|test_11,0.5049,0.5049
58,(contract_length)^2,contract_length|contract_ratio,0.5049,0.5049
59,(freq(subscription_type) + is_older_group),subscription_type|is_older_group,0.5036,0.5036
60,((test_11 + test_1))^2,test_11|test_1|gender_age_group,0.5020,0.5020
61,log(test_9),test_9|age,0.5049,0.5049
62,log(test_11),test_11|contract_length,0.5049,0.5049
63,log(test_3),test_3|frequent,0.5049,0.5049
64,log(test_12),test_12|contract_length,0.5049,0.5049
65,sqrt(gender_age_group),gender_age_group|test_2,0.5049,0.5049
66,(freq(gender) / renewal_pressure),gender|renewal_pressure,0.5015,0.5015
67,((test_7 * test_10) / frequent),test_7|test_10|frequent,0.4999,0.4999
68,(((payment_per_freq - test_8) + contract_length) - tenure),payment_per_freq|test_8|contract_length|tenure,0.4987,0.4987
69,(freq(subscription_type) / test_4),subscription_type|test_4,0.4997,0.4997
70,(((sqrt(test_4) * test_5) / payment_interval) + is_high_interaction),test_4|usage_cluster|test_5|payment_interval|is_high_interaction,0.5014,0.5014
71,(log((test_4)^2) / usage_cluster),test_4|test_8|test_7|usage_cluster,0.5015,0.5015
72,(log((payment_interval)^2) / tenure),payment_interval|gender_age_group|is_older_group|tenure,0.5011,0.5011
73,(log((test_2)^2))^2,test_2|freq_per_tenure|older_low_contract|test_5,0.5049,0.5049
74,sqrt(log(sqrt(payment_interval))),payment_interval|test_5|test_11|frequent,0.5049,0.5049
75,log(test_7),test_7|test_8,0.5049,0.5049
76,(renewal_pressure)^2,renewal_pressure|interaction_per_freq,0.5049,0.5049
77,(freq(gender) * test_3),gender|test_3,0.5000,0.5000
78,(interaction_per_freq + vip_low_interaction),interaction_per_freq|vip_low_interaction,0.5009,0.5009
79,log(sqrt(frequent)),frequent|test_1|test_11,0.5049,0.5049
80,(((test_3 / is_high_interaction) * payment_per_freq) + test_7),test_3|is_high_interaction|payment_per_freq|test_7,0.5024,0.5024
83,(freq(gender) / tenure),gender|tenure,0.5006,0.5006
84,(freq(gender) / new_inactive),gender|new_inactive,0.5046,0.5046
85,(freq(gender) / test_8),gender|test_8,0.5049,0.5049
86,(freq(gender) - payment_per_freq),gender|payment_per_freq,0.4989,0.4989
87,(test_9)^2,test_9|contract_length,0.5049,0.5049
88,(freq(subscription_type) + test_7),subscription_type|test_7,0.5040,0.5040
89,(sqrt(renewal_pressure) + gender_age_group),renewal_pressure|after_interaction|gender_age_group,0.5018,0.5018
90,(test_4 - test_7),test_4|test_7,0.5040,0.5040
92,(freq(gender) / test_12),gender|test_12,0.5047,0.5047
94,(freq(gender) / test_1),gender|test_1,0.4980,0.4980
95,(freq(gender) / test_2),gender|test_2,0.5049,0.5049
96,log(log(vip_low_interaction)),vip_low_interaction|test_5|test_8,0.5049,0.5049
97,(freq(gender) + interaction_rate),gender|interaction_rate,0.5016,0.5016
99,(((sqrt(payment_per_freq) * test_2) * is_high_interaction) - older_low_contract),payment_per_freq|test_3|test_2|is_high_interaction|older_low_contract,0.5016,0.5016
100,(freq(gender) / test_5),gender|test_5,0.5026,0.5026
101,(freq(gender) - test_9),gender|test_9,0.5018,0.5018
102,(freq(gender) - usage_cluster),gender|usage_cluster,0.4946,0.4946
104,(freq(gender) - is_high_interaction),gender|is_high_interaction,0.4962,0.4962
105,(test_10 * test_2),test_10|test_2,0.5036,0.5036
106,(((tenure / test_11) / test_3) / payment_interval),tenure|test_11|test_3|payment_interval,0.5041,0.5041
108,((after_interaction)^2 + test_11),after_interaction|renewal_pressure|test_11,0.5012,0.5012
109,(test_7 + test_9),test_7|test_9,0.5049,0.5049
110,(freq(gender) * vip_low_interaction),gender|vip_low_interaction,0.5049,0.5049
113,(freq(subscription_type) * freq_per_tenure),subscription_type|freq_per_tenure,0.5018,0.5018
114,(freq(subscription_type) * payment_interval),subscription_type|payment_interval,0.5014,0.5014
115,(sqrt(test_1) - interaction_per_freq),test_1|new_inactive|interaction_per_freq,0.5034,0.5034
116,(freq(subscription_type) - older_low_contract),subscription_type|older_low_contract,0.5021,0.5021
118,(freq(subscription_type) * contract_ratio),subscription_type|contract_ratio,0.5034,0.5034
119,log(contract_length),contract_length|after_interaction,0.5049,0.5049
120,((payment_per_freq)^2)^2,payment_per_freq|test_2|test_5,0.5049,0.5049
121,sqrt(test_11),test_11|after_interaction,0.5049,0.5049
122,sqrt(test_8),test_8|payment_interval,0.5049,0.5049
123,sqrt(test_10),test_10|age,0.5049,0.5049
124,sqrt(vip_low_interaction),vip_low_interaction|payment_interval,0.5049,0.5049
125,(is_high_interaction - test_11),is_high_interaction|test_11,0.5049,0.5049
126,(freq(subscription_type) + frequent),subscription_type|frequent,0.5049,0.5049
127,sqrt(contract_ratio),contract_ratio|is_high_interaction,0.5049,0.5049
128,(test_12 * contract_length),test_12|contract_length,0.5049,0.5049
131,sqrt(after_interaction),after_interaction|frequent,0.5049,0.5049
132,sqrt(test_12),test_12|interaction_per_freq,0.5049,0.5049
134,log(frequent),frequent|test_10,0.5049,0.5049
135,(sqrt(sqrt(renewal_pressure)) / test_11),renewal_pressure|older_low_contract|freq_per_tenure|test_11,0.5035,0.5035
137,(test_7 / older_low_contract),test_7|older_low_contract,0.5048,0.5048
138,(freq(subscription_type) * test_10),subscription_type|test_10,0.5049,0.5049
139,(frequent)^2,frequent|test_1,0.5049,0.5049
140,(gender_age_group + is_older_group),gender_age_group|is_older_group,0.5028,0.5028
141,(sqrt(renewal_pressure))^2,renewal_pressure|interaction_per_freq|contract_length,0.5049,0.5049
142,(sqrt(test_1))^2,test_1|test_11|older_low_contract,0.5049,0.5049
143,(sqrt(test_3))^2,test_3|usage_cluster|age,0.5049,0.5049
144,((sqrt(test_11))^2 + test_7),test_11|gender_age_group|payment_per_freq|test_7,0.5037,0.5037
145,(freq(gender) / contract_length),gender|contract_length,0.5049,0.5049
146,((test_2)^2 - test_5),test_2|new_inactive|test_5,0.5010,0.5010
147,log(test_4),test_4|payment_per_freq,0.5049,0.5049
148,(freq(gender) - interaction_per_freq),gender|interaction_per_freq,0.4936,0.4936
149,(((sqrt(freq_per_tenure))^2 - renewal_pressure) / test_4),freq_per_tenure|age|vip_low_interaction|renewal_pressure|test_4,0.5027,0.5027
150,(freq(gender) / is_older_group),gender|is_older_group,0.5049,0.5049
154,(interaction_rate - frequent),interaction_rate|frequent,0.5026,0.5026
155,(gender_age_group)^2,gender_age_group|payment_interval,0.5049,0.5049
157,(freq(subscription_type) + test_11),subscription_type|test_11,0.5026,0.5026
158,(((contract_ratio * interaction_per_freq) / test_3))^2,contract_ratio|interaction_per_freq|test_3|test_5,0.5017,0.5017
159,((test_8)^2 * test_6),test_8|test_9|test_6,0.4996,0.4996
161,(vip_low_interaction)^2,vip_low_interaction|gender_age_group,0.5049,0.5049
163,(freq_per_tenure)^2,freq_per_tenure|test_6,0.5049,0.5049
