trial,formula,used_features,f1_macro,metric
113,((usage_cluster * interaction_per_freq) - gender_age_group),usage_cluster|interaction_per_freq|gender_age_group,0.4929,0.4929
114,(tenure * vip_low_interaction),tenure|vip_low_interaction,0.4984,0.4984
115,((is_older_group + interaction_rate) - payment_interval),is_older_group|interaction_rate|payment_interval,0.4984,0.4984
116,sqrt(log(interaction_per_freq)),interaction_per_freq|vip_low_interaction|payment_per_freq,0.4984,0.4984
117,(freq(gender) / usage_cluster),gender|usage_cluster,0.4981,0.4981
118,sqrt(log(((interaction_rate)^2 + contract_length))),interaction_rate|gender_age_group|contract_length|contract_ratio|payment_per_freq,0.4984,0.4984
119,log((sqrt(payment_interval) - is_high_interaction)),payment_interval|interaction_per_freq|is_high_interaction|payment_per_freq,0.4984,0.4984
120,(interaction_per_freq * contract_ratio),interaction_per_freq|contract_ratio,0.4965,0.4965
121,((sqrt((tenure / is_high_interaction)))^2 * age),tenure|is_high_interaction|interaction_rate|usage_cluster|age,0.4984,0.4984
122,((sqrt((renewal_pressure / is_older_group)))^2 * payment_per_freq),renewal_pressure|is_older_group|interaction_rate|tenure|payment_per_freq,0.4961,0.4961
123,((sqrt((is_high_interaction / new_inactive)))^2 * interaction_rate),is_high_interaction|new_inactive|age|contract_ratio|interaction_rate,0.4984,0.4984
124,((((is_high_interaction + usage_cluster) / interaction_per_freq) + payment_per_freq) * frequent),is_high_interaction|usage_cluster|interaction_per_freq|payment_per_freq|frequent,0.4960,0.4960
125,(freq(subscription_type) + after_interaction),subscription_type|after_interaction,0.4967,0.4967
126,(log((usage_cluster / renewal_pressure)) - is_high_interaction),usage_cluster|renewal_pressure|contract_ratio|is_high_interaction,0.4970,0.4970
127,sqrt(log(((renewal_pressure)^2 * is_high_interaction))),renewal_pressure|interaction_per_freq|is_high_interaction|frequent|new_inactive,0.4984,0.4984
128,sqrt((log(frequent))^2),frequent|usage_cluster|payment_interval|age,0.4984,0.4984
129,(freq(subscription_type) * interaction_per_freq),subscription_type|interaction_per_freq,0.4971,0.4971
130,(((sqrt(freq_per_tenure) + older_low_contract) * new_inactive) / after_interaction),freq_per_tenure|vip_low_interaction|older_low_contract|new_inactive|after_interaction,0.4984,0.4984
131,(log(log(age)) * tenure),age|new_inactive|payment_interval|tenure,0.4983,0.4983
132,(log(log(age)) * new_inactive),age|gender_age_group|vip_low_interaction|new_inactive,0.4984,0.4984
133,(log(log(usage_cluster)))^2,usage_cluster|age|interaction_per_freq|vip_low_interaction,0.4984,0.4984
134,(((age - tenure) - payment_interval) * older_low_contract),age|tenure|payment_interval|older_low_contract,0.4984,0.4984
135,log(((renewal_pressure)^2)^2),renewal_pressure|after_interaction|older_low_contract|gender_age_group,0.4984,0.4984
136,(sqrt(log(older_low_contract)) / contract_length),older_low_contract|age|freq_per_tenure|contract_length,0.4984,0.4984
137,(sqrt(vip_low_interaction))^2,vip_low_interaction|interaction_per_freq|tenure,0.4984,0.4984
138,(freq(gender) - tenure),gender|tenure,0.4973,0.4973
139,(sqrt(((renewal_pressure + contract_ratio) - vip_low_interaction)))^2,renewal_pressure|contract_ratio|vip_low_interaction|payment_interval|interaction_per_freq,0.4965,0.4965
140,(((older_low_contract * new_inactive) + tenure) * contract_ratio),older_low_contract|new_inactive|tenure|contract_ratio,0.4958,0.4958
141,((freq_per_tenure - interaction_rate) + tenure),freq_per_tenure|interaction_rate|tenure,0.4962,0.4962
142,((contract_ratio - vip_low_interaction) + contract_length),contract_ratio|vip_low_interaction|contract_length,0.4963,0.4963
143,((contract_length - gender_age_group) + new_inactive),contract_length|gender_age_group|new_inactive,0.4984,0.4984
144,((freq_per_tenure)^2)^2,freq_per_tenure|payment_per_freq|renewal_pressure,0.4984,0.4984
145,sqrt(interaction_rate),interaction_rate|usage_cluster,0.4984,0.4984
146,(freq(subscription_type) / gender_age_group),subscription_type|gender_age_group,0.4984,0.4984
147,log((is_older_group / contract_ratio)),is_older_group|contract_ratio|freq_per_tenure,0.4984,0.4984
148,log((log(contract_length) / usage_cluster)),contract_length|interaction_rate|usage_cluster|tenure,0.4984,0.4984
149,((((usage_cluster * new_inactive) - contract_length) * freq_per_tenure) + payment_interval),usage_cluster|new_inactive|contract_length|freq_per_tenure|payment_interval,0.4973,0.4973
150,((contract_length - after_interaction))^2,contract_length|after_interaction|frequent,0.4984,0.4984
151,sqrt(renewal_pressure),renewal_pressure|after_interaction,0.4984,0.4984
152,sqrt(new_inactive),new_inactive|contract_length,0.4984,0.4984
153,sqrt(is_older_group),is_older_group|frequent,0.4984,0.4984
154,sqrt(payment_per_freq),payment_per_freq|interaction_per_freq,0.4984,0.4984
155,(freq(gender) + is_older_group),gender|is_older_group,0.4984,0.4984
156,(gender_age_group + older_low_contract),gender_age_group|older_low_contract,0.4984,0.4984
157,sqrt(((tenure)^2 + vip_low_interaction)),tenure|is_older_group|vip_low_interaction|frequent,0.4959,0.4959
158,((sqrt(is_older_group) * payment_per_freq) + gender_age_group),is_older_group|new_inactive|payment_per_freq|gender_age_group,0.4984,0.4984
159,log((((interaction_rate * contract_ratio))^2 - is_older_group)),interaction_rate|contract_ratio|new_inactive|is_older_group|renewal_pressure,0.4984,0.4984
160,(freq(gender) - age),gender|age,0.4957,0.4957
161,((age + contract_ratio))^2,age|contract_ratio|tenure,0.4984,0.4984
162,((is_older_group + after_interaction))^2,is_older_group|after_interaction|interaction_per_freq,0.4956,0.4956
163,((payment_per_freq + contract_ratio))^2,payment_per_freq|contract_ratio|is_older_group,0.4978,0.4978
164,((contract_length + is_high_interaction) - older_low_contract),contract_length|is_high_interaction|older_low_contract,0.4984,0.4984
165,(contract_length)^2,contract_length|older_low_contract,0.4984,0.4984
166,sqrt(log(frequent)),frequent|interaction_rate|payment_interval,0.4984,0.4984
167,((sqrt(older_low_contract))^2)^2,older_low_contract|age|tenure|usage_cluster,0.4984,0.4984
168,((((payment_per_freq / tenure) - gender_age_group) * frequent) - freq_per_tenure),payment_per_freq|tenure|gender_age_group|frequent|freq_per_tenure,0.4984,0.4984
169,((contract_length * contract_ratio))^2,contract_length|contract_ratio|freq_per_tenure,0.4966,0.4966
170,(freq(subscription_type) / contract_ratio),subscription_type|contract_ratio,0.4973,0.4973
171,((age + freq_per_tenure))^2,age|freq_per_tenure|gender_age_group,0.4963,0.4963
172,((contract_length + freq_per_tenure))^2,contract_length|freq_per_tenure|gender_age_group,0.4984,0.4984
173,((frequent + freq_per_tenure))^2,frequent|freq_per_tenure|after_interaction,0.4951,0.4951
174,((age + older_low_contract) + contract_ratio),age|older_low_contract|contract_ratio,0.4984,0.4984
175,log(log(sqrt(is_high_interaction))),is_high_interaction|after_interaction|interaction_per_freq|payment_interval,0.4984,0.4984
176,((log(payment_interval))^2 / usage_cluster),payment_interval|interaction_per_freq|after_interaction|usage_cluster,0.4975,0.4975
177,((usage_cluster)^2 - age),usage_cluster|new_inactive|age,0.4984,0.4984
178,((sqrt((is_high_interaction - contract_length)) * interaction_rate))^2,is_high_interaction|contract_length|payment_interval|interaction_rate|older_low_contract,0.4984,0.4984
179,(freq(gender) - freq_per_tenure),gender|freq_per_tenure,0.4951,0.4951
180,((sqrt(renewal_pressure))^2 - frequent),renewal_pressure|is_older_group|is_high_interaction|frequent,0.4970,0.4970
181,sqrt(((tenure)^2 - older_low_contract)),tenure|payment_interval|older_low_contract|payment_per_freq,0.4972,0.4972
182,sqrt(((tenure)^2 - age)),tenure|gender_age_group|age|interaction_per_freq,0.4963,0.4963
183,sqrt(((contract_length)^2 - vip_low_interaction)),contract_length|frequent|vip_low_interaction|gender_age_group,0.4984,0.4984
184,sqrt(((contract_ratio * vip_low_interaction) - new_inactive)),contract_ratio|vip_low_interaction|new_inactive|is_high_interaction,0.4984,0.4984
185,((freq_per_tenure / tenure) / usage_cluster),freq_per_tenure|tenure|usage_cluster,0.4972,0.4972
186,log(((interaction_per_freq)^2 + interaction_rate)),interaction_per_freq|older_low_contract|interaction_rate|freq_per_tenure,0.4984,0.4984
187,(((log(contract_ratio))^2)^2 * payment_interval),contract_ratio|older_low_contract|tenure|new_inactive|payment_interval,0.4988,0.4988
188,(((log(renewal_pressure))^2)^2 * age),renewal_pressure|is_high_interaction|payment_per_freq|new_inactive|age,0.4984,0.4984
189,(((log(new_inactive))^2)^2 * contract_length),new_inactive|is_high_interaction|gender_age_group|usage_cluster|contract_length,0.4984,0.4984
190,(freq(subscription_type) * older_low_contract),subscription_type|older_low_contract,0.4984,0.4984
191,(((log(payment_per_freq))^2)^2 * contract_length),payment_per_freq|payment_interval|new_inactive|contract_ratio|contract_length,0.4984,0.4984
192,(((log(age))^2)^2 / new_inactive),age|interaction_per_freq|older_low_contract|is_older_group|new_inactive,0.4984,0.4984
193,sqrt((log(sqrt(freq_per_tenure)) * age)),freq_per_tenure|interaction_rate|contract_length|age|vip_low_interaction,0.4974,0.4974
194,(log(((vip_low_interaction - frequent) * is_high_interaction)) + interaction_rate),vip_low_interaction|frequent|is_high_interaction|contract_length|interaction_rate,0.4967,0.4967
195,(usage_cluster + new_inactive),usage_cluster|new_inactive,0.4984,0.4984
196,sqrt(((renewal_pressure * interaction_per_freq) - tenure)),renewal_pressure|interaction_per_freq|tenure|contract_ratio,0.4954,0.4954
197,(log(is_older_group))^2,is_older_group|gender_age_group|is_high_interaction,0.4984,0.4984
198,(((after_interaction)^2 + age) - is_older_group),after_interaction|interaction_per_freq|age|is_older_group,0.4949,0.4949
199,sqrt(older_low_contract),older_low_contract|contract_length,0.4984,0.4984
200,sqrt((tenure + vip_low_interaction)),tenure|vip_low_interaction|older_low_contract,0.4959,0.4959
201,(((payment_per_freq - interaction_per_freq))^2 - age),payment_per_freq|interaction_per_freq|is_high_interaction|age,0.4984,0.4984
202,(((new_inactive - gender_age_group))^2 - interaction_rate),new_inactive|gender_age_group|usage_cluster|interaction_rate,0.4934,0.4934
203,(((older_low_contract - contract_length))^2 - gender_age_group),older_low_contract|contract_length|after_interaction|gender_age_group,0.4984,0.4984
204,(((payment_interval - renewal_pressure))^2 + vip_low_interaction),payment_interval|renewal_pressure|older_low_contract|vip_low_interaction,0.4967,0.4967
205,(freq(gender) - renewal_pressure),gender|renewal_pressure,0.4944,0.4944
206,((((older_low_contract / contract_ratio) - payment_interval) * tenure) / interaction_rate),older_low_contract|contract_ratio|payment_interval|tenure|interaction_rate,0.4962,0.4962
207,((sqrt(is_high_interaction))^2)^2,is_high_interaction|payment_per_freq|frequent|payment_interval,0.4984,0.4984
208,log(log((new_inactive * renewal_pressure))),new_inactive|renewal_pressure|payment_interval|vip_low_interaction,0.4984,0.4984
209,(log(is_high_interaction))^2,is_high_interaction|freq_per_tenure|gender_age_group,0.4984,0.4984
210,((((payment_interval)^2 - freq_per_tenure) - usage_cluster) * vip_low_interaction),payment_interval|after_interaction|freq_per_tenure|usage_cluster|vip_low_interaction,0.4984,0.4984
211,(freq(gender) / gender_age_group),gender|gender_age_group,0.4984,0.4984
212,(freq(gender) / is_high_interaction),gender|is_high_interaction,0.4984,0.4984
213,(freq(gender) / gender_age_group),gender|gender_age_group,0.4984,0.4984
214,(freq(gender) / contract_length),gender|contract_length,0.4984,0.4984
215,(freq(gender) / payment_per_freq),gender|payment_per_freq,0.4958,0.4958
216,(((vip_low_interaction + renewal_pressure) + age) * frequent),vip_low_interaction|renewal_pressure|age|frequent,0.4957,0.4957
217,(freq(gender) / older_low_contract),gender|older_low_contract,0.4984,0.4984
218,sqrt(tenure),tenure|payment_per_freq,0.4984,0.4984
219,((age)^2)^2,age|interaction_per_freq|older_low_contract,0.4984,0.4984
220,sqrt(sqrt(log(is_older_group))),is_older_group|usage_cluster|payment_per_freq|age,0.4984,0.4984
221,(((after_interaction + interaction_per_freq))^2)^2,after_interaction|interaction_per_freq|tenure|contract_length,0.4954,0.4954
222,(((new_inactive + frequent))^2 / contract_length),new_inactive|frequent|interaction_rate|contract_length,0.4984,0.4984
223,(((frequent + freq_per_tenure))^2)^2,frequent|freq_per_tenure|contract_length|is_older_group,0.4951,0.4951
224,(((payment_per_freq + frequent))^2)^2,payment_per_freq|frequent|after_interaction|gender_age_group,0.4946,0.4946
225,(((age * contract_length) - new_inactive))^2,age|contract_length|new_inactive|renewal_pressure,0.4984,0.4984
226,((((age / is_older_group))^2 * interaction_rate) - after_interaction),age|is_older_group|contract_length|interaction_rate|after_interaction,0.4984,0.4984
227,((((is_older_group / older_low_contract))^2 * contract_ratio) - interaction_rate),is_older_group|older_low_contract|interaction_per_freq|contract_ratio|interaction_rate,0.4984,0.4984
228,((((renewal_pressure / payment_interval) / usage_cluster) * new_inactive) - interaction_rate),renewal_pressure|payment_interval|usage_cluster|new_inactive|interaction_rate,0.4968,0.4968
229,(freq(gender) + gender_age_group),gender|gender_age_group,0.4984,0.4984
230,((((freq_per_tenure / gender_age_group) + contract_ratio) * payment_interval) - older_low_contract),freq_per_tenure|gender_age_group|contract_ratio|payment_interval|older_low_contract,0.4984,0.4984
231,log((((vip_low_interaction / contract_length))^2 * interaction_per_freq)),vip_low_interaction|contract_length|tenure|interaction_per_freq|age,0.4984,0.4984
232,(log((sqrt(older_low_contract))^2) - tenure),older_low_contract|is_high_interaction|vip_low_interaction|after_interaction|tenure,0.4972,0.4972
233,((freq_per_tenure - new_inactive))^2,freq_per_tenure|new_inactive|payment_per_freq,0.4962,0.4962
234,sqrt((((contract_length + freq_per_tenure) - payment_per_freq) * usage_cluster)),contract_length|freq_per_tenure|payment_per_freq|usage_cluster|payment_interval,0.4972,0.4972
235,sqrt(((interaction_per_freq)^2)^2),interaction_per_freq|is_older_group|usage_cluster|freq_per_tenure,0.4984,0.4984
236,(sqrt(is_high_interaction) * contract_length),is_high_interaction|tenure|contract_length,0.4984,0.4984
237,log(frequent),frequent|is_older_group,0.4984,0.4984
238,(log((interaction_rate / renewal_pressure)) - contract_length),interaction_rate|renewal_pressure|is_high_interaction|contract_length,0.4984,0.4984
239,(((payment_interval * older_low_contract))^2)^2,payment_interval|older_low_contract|contract_length|tenure,0.4984,0.4984
240,(freq(gender) - payment_interval),gender|payment_interval,0.4926,0.4926
241,(freq(gender) - older_low_contract),gender|older_low_contract,0.4984,0.4984
242,(freq(gender) - older_low_contract),gender|older_low_contract,0.4984,0.4984
243,(freq(gender) - interaction_per_freq),gender|interaction_per_freq,0.4944,0.4944
244,(freq(gender) - usage_cluster),gender|usage_cluster,0.4945,0.4945
245,(log(((frequent + interaction_rate) - payment_interval)) / older_low_contract),frequent|interaction_rate|payment_interval|is_older_group|older_low_contract,0.4984,0.4984
246,(freq(gender) - contract_length),gender|contract_length,0.4984,0.4984
247,(sqrt(new_inactive))^2,new_inactive|age|freq_per_tenure,0.4984,0.4984
248,((sqrt((older_low_contract - is_older_group)) * gender_age_group) * frequent),older_low_contract|is_older_group|renewal_pressure|gender_age_group|frequent,0.4934,0.4934
249,((after_interaction)^2 + older_low_contract),after_interaction|freq_per_tenure|older_low_contract,0.4960,0.4960
250,((log(is_older_group))^2 + gender_age_group),is_older_group|after_interaction|usage_cluster|gender_age_group,0.4984,0.4984
251,(freq(subscription_type) / tenure),subscription_type|tenure,0.4970,0.4970
252,(older_low_contract + tenure),older_low_contract|tenure,0.4976,0.4976
253,sqrt((sqrt(interaction_per_freq) - payment_interval)),interaction_per_freq|gender_age_group|payment_interval|contract_ratio,0.4984,0.4984
254,((((frequent / payment_interval))^2)^2 + contract_length),frequent|payment_interval|older_low_contract|new_inactive|contract_length,0.4971,0.4971
255,((tenure * frequent))^2,tenure|frequent|usage_cluster,0.4961,0.4961
256,(freq(gender) - older_low_contract),gender|older_low_contract,0.4984,0.4984
257,(log((is_older_group)^2) - contract_ratio),is_older_group|after_interaction|contract_length|contract_ratio,0.4968,0.4968
