trial,formula,used_features,f1_macro,metric
93,(freq(gender) * new_inactive),gender|new_inactive,0.5001,0.5001
95,(freq(gender) + older_low_contract),gender|older_low_contract,0.5001,0.5001
96,sqrt(log(payment_per_freq)),payment_per_freq|payment_interval|older_low_contract,0.5001,0.5001
97,(gender_age_group * contract_length),gender_age_group|contract_length,0.4986,0.4986
98,(freq(subscription_type) - test_1),subscription_type|test_1,0.4999,0.4999
99,((tenure - contract_length) * contract_ratio),tenure|contract_length|contract_ratio,0.5001,0.5001
100,(((payment_per_freq)^2 + payment_interval) - new_inactive),payment_per_freq|freq_per_tenure|payment_interval|new_inactive,0.5001,0.5001
101,log(sqrt(contract_length)),contract_length|contract_ratio|frequent,0.5001,0.5001
102,log(sqrt(contract_ratio)),contract_ratio|gender_age_group|freq_per_tenure,0.5001,0.5001
103,log(sqrt(freq_per_tenure)),freq_per_tenure|interaction_per_freq|gender_age_group,0.5001,0.5001
104,log(log(usage_cluster)),usage_cluster|is_older_group|tenure,0.5001,0.5001
105,(sqrt(usage_cluster) * payment_per_freq),usage_cluster|frequent|payment_per_freq,0.4996,0.4996
106,log(payment_per_freq),payment_per_freq|freq_per_tenure,0.5001,0.5001
107,((interaction_rate + test_1) * tenure),interaction_rate|test_1|tenure,0.5001,0.5001
108,(freq(gender) * payment_interval),gender|payment_interval,0.5001,0.5001
109,(contract_ratio)^2,contract_ratio|interaction_per_freq,0.5001,0.5001
110,(log(new_inactive) / is_older_group),new_inactive|usage_cluster|is_older_group,0.5001,0.5001
111,(((after_interaction / frequent) + is_high_interaction) * payment_per_freq),after_interaction|frequent|is_high_interaction|payment_per_freq,0.4980,0.4980
112,(((interaction_per_freq / vip_low_interaction) + test_2) * contract_length),interaction_per_freq|vip_low_interaction|test_2|contract_length,0.4977,0.4977
113,(((new_inactive / is_older_group) + renewal_pressure) * older_low_contract),new_inactive|is_older_group|renewal_pressure|older_low_contract,0.5001,0.5001
114,(((tenure / payment_interval) + usage_cluster) * age),tenure|payment_interval|usage_cluster|age,0.4984,0.4984
115,(sqrt((interaction_per_freq * contract_ratio)) + older_low_contract),interaction_per_freq|contract_ratio|payment_interval|older_low_contract,0.5001,0.5001
117,sqrt((((vip_low_interaction - is_older_group) * tenure))^2),vip_low_interaction|is_older_group|tenure|is_high_interaction|usage_cluster,0.5001,0.5001
118,(log(new_inactive) - interaction_per_freq),new_inactive|renewal_pressure|interaction_per_freq,0.4987,0.4987
119,(freq(gender) / after_interaction),gender|after_interaction,0.4963,0.4963
120,(older_low_contract + payment_per_freq),older_low_contract|payment_per_freq,0.5001,0.5001
124,log(usage_cluster),usage_cluster|after_interaction,0.5001,0.5001
125,(contract_ratio * age),contract_ratio|age,0.5001,0.5001
126,((payment_per_freq)^2)^2,payment_per_freq|new_inactive|frequent,0.5001,0.5001
127,(freq(subscription_type) * payment_per_freq),subscription_type|payment_per_freq,0.4988,0.4988
128,sqrt((sqrt(renewal_pressure) + new_inactive)),renewal_pressure|contract_ratio|new_inactive|tenure,0.4986,0.4986
129,(log(contract_length) * age),contract_length|renewal_pressure|age,0.4935,0.4935
130,(freq(gender) + frequent),gender|frequent,0.4991,0.4991
132,log(payment_interval),payment_interval|vip_low_interaction,0.5001,0.5001
133,log(age),age|after_interaction,0.5001,0.5001
134,(payment_interval / interaction_rate),payment_interval|interaction_rate,0.4992,0.4992
135,(payment_interval + renewal_pressure),payment_interval|renewal_pressure,0.5001,0.5001
136,log(log(is_high_interaction)),is_high_interaction|is_older_group|freq_per_tenure,0.5001,0.5001
137,(freq(gender) - interaction_rate),gender|interaction_rate,0.4944,0.4944
138,(new_inactive * test_1),new_inactive|test_1,0.5001,0.5001
139,(((contract_ratio)^2 * gender_age_group) * is_high_interaction),contract_ratio|is_older_group|gender_age_group|is_high_interaction,0.5001,0.5001
140,log(gender_age_group),gender_age_group|contract_length,0.5001,0.5001
142,log(contract_length),contract_length|is_high_interaction,0.5001,0.5001
144,sqrt(older_low_contract),older_low_contract|frequent,0.5001,0.5001
145,(freq(subscription_type) / gender_age_group),subscription_type|gender_age_group,0.4998,0.4998
146,((interaction_per_freq - is_high_interaction) + payment_per_freq),interaction_per_freq|is_high_interaction|payment_per_freq,0.4987,0.4987
147,(log(age) * vip_low_interaction),age|usage_cluster|vip_low_interaction,0.5001,0.5001
148,(is_high_interaction + vip_low_interaction),is_high_interaction|vip_low_interaction,0.4983,0.4983
150,((gender_age_group / renewal_pressure) / usage_cluster),gender_age_group|renewal_pressure|usage_cluster,0.5001,0.5001
151,sqrt((vip_low_interaction)^2),vip_low_interaction|contract_length|age,0.5001,0.5001
152,sqrt((is_high_interaction)^2),is_high_interaction|older_low_contract|new_inactive,0.5001,0.5001
153,sqrt((gender_age_group)^2),gender_age_group|contract_ratio|renewal_pressure,0.5001,0.5001
154,(sqrt((is_older_group)^2))^2,is_older_group|frequent|payment_interval|renewal_pressure,0.5001,0.5001
155,((interaction_per_freq * is_older_group) - contract_ratio),interaction_per_freq|is_older_group|contract_ratio,0.5001,0.5001
156,(log(vip_low_interaction))^2,vip_low_interaction|after_interaction|renewal_pressure,0.5001,0.5001
157,(freq(gender) * is_older_group),gender|is_older_group,0.5001,0.5001
158,((sqrt(contract_ratio) * usage_cluster) / payment_interval),contract_ratio|after_interaction|usage_cluster|payment_interval,0.4993,0.4993
159,log(is_older_group),is_older_group|new_inactive,0.5001,0.5001
160,((vip_low_interaction)^2 + interaction_rate),vip_low_interaction|older_low_contract|interaction_rate,0.4957,0.4957
161,log(tenure),tenure|after_interaction,0.5001,0.5001
164,(is_older_group + after_interaction),is_older_group|after_interaction,0.4988,0.4988
165,(freq(subscription_type) / tenure),subscription_type|tenure,0.4998,0.4998
167,log((gender_age_group / payment_interval)),gender_age_group|payment_interval|payment_per_freq,0.4979,0.4979
168,log(freq_per_tenure),freq_per_tenure|interaction_per_freq,0.5001,0.5001
169,(freq(gender) + freq_per_tenure),gender|freq_per_tenure,0.4979,0.4979
170,((interaction_per_freq * usage_cluster) * new_inactive),interaction_per_freq|usage_cluster|new_inactive,0.5001,0.5001
171,(log(renewal_pressure))^2,renewal_pressure|freq_per_tenure|tenure,0.5001,0.5001
172,(log(gender_age_group))^2,gender_age_group|test_2|freq_per_tenure,0.5001,0.5001
173,(log(payment_interval))^2,payment_interval|interaction_per_freq|is_older_group,0.5001,0.5001
174,(log(contract_length) * renewal_pressure),contract_length|tenure|renewal_pressure,0.5001,0.5001
175,(sqrt(sqrt((payment_per_freq - freq_per_tenure))) / after_interaction),payment_per_freq|freq_per_tenure|frequent|tenure|after_interaction,0.4988,0.4988
176,log((sqrt(freq_per_tenure) + after_interaction)),freq_per_tenure|interaction_rate|after_interaction|gender_age_group,0.4967,0.4967
177,log(interaction_rate),interaction_rate|freq_per_tenure,0.5001,0.5001
178,(freq(subscription_type) - age),subscription_type|age,0.4987,0.4987
179,log((is_older_group)^2),is_older_group|tenure|gender_age_group,0.5001,0.5001
180,(payment_per_freq + test_2),payment_per_freq|test_2,0.4976,0.4976
183,(freq(gender) / is_high_interaction),gender|is_high_interaction,0.5001,0.5001
184,(freq(gender) / new_inactive),gender|new_inactive,0.5001,0.5001
185,(freq(gender) / renewal_pressure),gender|renewal_pressure,0.5001,0.5001
188,(((freq_per_tenure / usage_cluster))^2 * tenure),freq_per_tenure|usage_cluster|after_interaction|tenure,0.4999,0.4999
189,(payment_per_freq * renewal_pressure),payment_per_freq|renewal_pressure,0.4996,0.4996
190,(log(payment_per_freq) / is_older_group),payment_per_freq|usage_cluster|is_older_group,0.4956,0.4956
191,((age * interaction_rate) / test_1),age|interaction_rate|test_1,0.5001,0.5001
192,((vip_low_interaction * new_inactive) / interaction_per_freq),vip_low_interaction|new_inactive|interaction_per_freq,0.5001,0.5001
193,((contract_ratio * freq_per_tenure) / is_high_interaction),contract_ratio|freq_per_tenure|is_high_interaction,0.4985,0.4985
194,((new_inactive)^2 * gender_age_group),new_inactive|contract_ratio|gender_age_group,0.5001,0.5001
195,(log(contract_ratio) + payment_interval),contract_ratio|after_interaction|payment_interval,0.4997,0.4997
196,((sqrt(gender_age_group) - freq_per_tenure) - payment_per_freq),gender_age_group|is_high_interaction|freq_per_tenure|payment_per_freq,0.4985,0.4985
197,(freq(gender) / test_2),gender|test_2,0.5001,0.5001
198,((gender_age_group * usage_cluster) * contract_ratio),gender_age_group|usage_cluster|contract_ratio,0.4990,0.4990
199,log(older_low_contract),older_low_contract|test_2,0.5001,0.5001
201,((is_older_group)^2 * renewal_pressure),is_older_group|is_high_interaction|renewal_pressure,0.4985,0.4985
202,((test_2)^2 * usage_cluster),test_2|payment_interval|usage_cluster,0.5001,0.5001
203,((interaction_rate)^2 * frequent),interaction_rate|interaction_per_freq|frequent,0.4964,0.4964
205,(log(after_interaction) * test_2),after_interaction|is_high_interaction|test_2,0.4963,0.4963
206,(freq(gender) * after_interaction),gender|after_interaction,0.4976,0.4976
207,(interaction_per_freq / contract_length),interaction_per_freq|contract_length,0.5001,0.5001
208,(log(test_2) + contract_length),test_2|payment_interval|contract_length,0.4987,0.4987
209,(((contract_length)^2 / is_older_group) + test_1),contract_length|payment_interval|is_older_group|test_1,0.4958,0.4958
210,(freq(subscription_type) / older_low_contract),subscription_type|older_low_contract,0.5001,0.5001
211,log(((new_inactive)^2 * payment_per_freq)),new_inactive|test_1|payment_per_freq|tenure,0.5001,0.5001
212,log(((contract_ratio)^2 * contract_length)),contract_ratio|renewal_pressure|contract_length|frequent,0.5001,0.5001
213,log(((test_2)^2 * contract_ratio)),test_2|payment_per_freq|contract_ratio|usage_cluster,0.5001,0.5001
214,log(sqrt((older_low_contract - contract_ratio))),older_low_contract|contract_ratio|interaction_per_freq|renewal_pressure,0.5001,0.5001
215,(log(test_1) * contract_length),test_1|is_high_interaction|contract_length,0.5001,0.5001
216,(((test_1 * is_high_interaction) + test_2) / payment_interval),test_1|is_high_interaction|test_2|payment_interval,0.4995,0.4995
218,(sqrt(older_low_contract))^2,older_low_contract|interaction_per_freq|usage_cluster,0.5001,0.5001
219,(freq(gender) - test_1),gender|test_1,0.4975,0.4975
221,((new_inactive)^2 - age),new_inactive|older_low_contract|age,0.4998,0.4998
222,((contract_ratio)^2 - is_high_interaction),contract_ratio|usage_cluster|is_high_interaction,0.5001,0.5001
223,((older_low_contract)^2 * renewal_pressure),older_low_contract|usage_cluster|renewal_pressure,0.5001,0.5001
224,((freq_per_tenure + gender_age_group) - age),freq_per_tenure|gender_age_group|age,0.5003,0.5003
225,((freq_per_tenure + interaction_rate) - tenure),freq_per_tenure|interaction_rate|tenure,0.4994,0.4994
226,log((freq_per_tenure + interaction_rate)),freq_per_tenure|interaction_rate|frequent,0.4991,0.4991
227,(gender_age_group + test_2),gender_age_group|test_2,0.5001,0.5001
228,((tenure + payment_interval) - older_low_contract),tenure|payment_interval|older_low_contract,0.4983,0.4983
229,(freq(subscription_type) + gender_age_group),subscription_type|gender_age_group,0.4981,0.4981
230,sqrt(sqrt(log(age))),age|gender_age_group|payment_interval|renewal_pressure,0.5001,0.5001
231,((usage_cluster / contract_ratio) - vip_low_interaction),usage_cluster|contract_ratio|vip_low_interaction,0.4998,0.4998
232,(log(vip_low_interaction) - new_inactive),vip_low_interaction|payment_interval|new_inactive,0.5001,0.5001
233,((after_interaction)^2 - frequent),after_interaction|new_inactive|frequent,0.4985,0.4985
234,((vip_low_interaction * test_1) + contract_ratio),vip_low_interaction|test_1|contract_ratio,0.5001,0.5001
235,(age + is_high_interaction),age|is_high_interaction,0.4989,0.4989
236,(log(frequent) * interaction_per_freq),frequent|gender_age_group|interaction_per_freq,0.4994,0.4994
237,(freq(gender) / payment_interval),gender|payment_interval,0.5002,0.5002
241,(freq(gender) / contract_ratio),gender|contract_ratio,0.5001,0.5001
243,(sqrt(payment_interval))^2,payment_interval|vip_low_interaction|test_2,0.5001,0.5001
244,(test_1)^2,test_1|test_2,0.5001,0.5001
246,(log(usage_cluster) / payment_interval),usage_cluster|is_older_group|payment_interval,0.4990,0.4990
247,(log(contract_length) * freq_per_tenure),contract_length|renewal_pressure|freq_per_tenure,0.4975,0.4975
248,log(log((payment_interval)^2)),payment_interval|freq_per_tenure|is_older_group|usage_cluster,0.5001,0.5001
250,(new_inactive / older_low_contract),new_inactive|older_low_contract,0.5001,0.5001
251,((new_inactive * older_low_contract) - after_interaction),new_inactive|older_low_contract|after_interaction,0.4984,0.4984
252,(log(test_1) + payment_per_freq),test_1|gender_age_group|payment_per_freq,0.5001,0.5001
254,(payment_per_freq + tenure),payment_per_freq|tenure,0.4996,0.4996
255,(((interaction_rate - is_older_group) * tenure))^2,interaction_rate|is_older_group|tenure|contract_length,0.4988,0.4988
256,sqrt(log(tenure)),tenure|gender_age_group|after_interaction,0.5001,0.5001
257,((gender_age_group)^2 * vip_low_interaction),gender_age_group|frequent|vip_low_interaction,0.5001,0.5001
258,(freq(gender) * contract_length),gender|contract_length,0.4987,0.4987
259,sqrt(vip_low_interaction),vip_low_interaction|contract_ratio,0.5001,0.5001
260,((log(contract_ratio))^2 / is_older_group),contract_ratio|usage_cluster|payment_per_freq|is_older_group,0.4968,0.4968
261,(interaction_rate * age),interaction_rate|age,0.5001,0.5001
262,(freq(subscription_type) - frequent),subscription_type|frequent,0.4993,0.4993
263,((gender_age_group)^2 / interaction_rate),gender_age_group|test_2|interaction_rate,0.4946,0.4946
264,(((log(gender_age_group) + is_older_group) - new_inactive) / is_high_interaction),gender_age_group|after_interaction|is_older_group|new_inactive|is_high_interaction,0.5001,0.5001
265,(freq_per_tenure + is_older_group),freq_per_tenure|is_older_group,0.4985,0.4985
266,(freq(gender) / payment_per_freq),gender|payment_per_freq,0.4981,0.4981
267,(log(age) * payment_per_freq),age|vip_low_interaction|payment_per_freq,0.4998,0.4998
268,log((interaction_rate / is_high_interaction)),interaction_rate|is_high_interaction|vip_low_interaction,0.5000,0.5000
270,(log(vip_low_interaction) - payment_interval),vip_low_interaction|gender_age_group|payment_interval,0.4978,0.4978
272,(sqrt((is_older_group * usage_cluster)) / payment_per_freq),is_older_group|usage_cluster|interaction_rate|payment_per_freq,0.5001,0.5001
274,(log(renewal_pressure) * payment_interval),renewal_pressure|interaction_rate|payment_interval,0.5001,0.5001
275,(freq(subscription_type) * tenure),subscription_type|tenure,0.4995,0.4995
276,(log(gender_age_group) + test_1),gender_age_group|renewal_pressure|test_1,0.4981,0.4981
277,((sqrt(tenure) * interaction_per_freq) + vip_low_interaction),tenure|payment_interval|interaction_per_freq|vip_low_interaction,0.4975,0.4975
278,(frequent + is_high_interaction),frequent|is_high_interaction,0.4989,0.4989
279,(freq(gender) / is_older_group),gender|is_older_group,0.5001,0.5001
280,((new_inactive)^2 / vip_low_interaction),new_inactive|age|vip_low_interaction,0.5001,0.5001
281,(log(interaction_rate))^2,interaction_rate|test_2|tenure,0.5001,0.5001
282,(contract_length * renewal_pressure),contract_length|renewal_pressure,0.5001,0.5001
284,(((is_older_group / interaction_per_freq) - vip_low_interaction) * age),is_older_group|interaction_per_freq|vip_low_interaction|age,0.4998,0.4998
285,((interaction_per_freq)^2 * tenure),interaction_per_freq|age|tenure,0.4978,0.4978
286,((interaction_per_freq - tenure) + contract_ratio),interaction_per_freq|tenure|contract_ratio,0.4997,0.4997
287,(freq(subscription_type) * freq_per_tenure),subscription_type|freq_per_tenure,0.4993,0.4993
288,log(new_inactive),new_inactive|is_older_group,0.5001,0.5001
289,log((test_2 + usage_cluster)),test_2|usage_cluster|test_1,0.4992,0.4992
290,log(sqrt(log(test_2))),test_2|older_low_contract|contract_ratio|payment_per_freq,0.5001,0.5001
292,((new_inactive)^2 * test_1),new_inactive|age|test_1,0.5001,0.5001
293,sqrt(contract_ratio),contract_ratio|after_interaction,0.5001,0.5001
294,(log(payment_interval) - after_interaction),payment_interval|tenure|after_interaction,0.4970,0.4970
295,((usage_cluster * contract_ratio) * age),usage_cluster|contract_ratio|age,0.5001,0.5001
296,(freq(subscription_type) - gender_age_group),subscription_type|gender_age_group,0.4985,0.4985
297,(freq_per_tenure)^2,freq_per_tenure|gender_age_group,0.5001,0.5001
298,((log(vip_low_interaction))^2 / is_older_group),vip_low_interaction|gender_age_group|age|is_older_group,0.5001,0.5001
299,(test_1 + freq_per_tenure),test_1|freq_per_tenure,0.4990,0.4990
300,(freq(gender) + renewal_pressure),gender|renewal_pressure,0.4994,0.4994
301,((is_older_group / is_high_interaction) / payment_interval),is_older_group|is_high_interaction|payment_interval,0.5001,0.5001
302,(log(freq_per_tenure) + payment_interval),freq_per_tenure|frequent|payment_interval,0.4953,0.4953
305,log(after_interaction),after_interaction|is_older_group,0.5001,0.5001
306,log((log((test_1 * is_high_interaction)) * payment_per_freq)),test_1|is_high_interaction|is_older_group|payment_per_freq|age,0.4998,0.4998
307,((renewal_pressure)^2 * interaction_rate),renewal_pressure|frequent|interaction_rate,0.5001,0.5001
308,(freq(subscription_type) * vip_low_interaction),subscription_type|vip_low_interaction,0.5001,0.5001
309,sqrt((log(renewal_pressure) - gender_age_group)),renewal_pressure|contract_length|gender_age_group|payment_per_freq,0.5001,0.5001
310,sqrt(sqrt(gender_age_group)),gender_age_group|frequent|older_low_contract,0.5001,0.5001
311,((is_high_interaction + new_inactive) * frequent),is_high_interaction|new_inactive|frequent,0.4990,0.4990
313,(log(interaction_rate) + renewal_pressure),interaction_rate|payment_interval|renewal_pressure,0.5001,0.5001
314,(test_2)^2,test_2|older_low_contract,0.5001,0.5001
315,((log(payment_interval) * is_high_interaction))^2,payment_interval|interaction_rate|is_high_interaction|is_older_group,0.4998,0.4998
317,((usage_cluster / test_2))^2,usage_cluster|test_2|is_older_group,0.4970,0.4970
318,(contract_ratio - payment_per_freq),contract_ratio|payment_per_freq,0.4993,0.4993
319,((new_inactive * tenure) / is_high_interaction),new_inactive|tenure|is_high_interaction,0.5001,0.5001
320,(new_inactive)^2,new_inactive|interaction_per_freq,0.5001,0.5001
322,((log(payment_interval) - payment_per_freq) - contract_length),payment_interval|older_low_contract|payment_per_freq|contract_length,0.4981,0.4981
323,log((renewal_pressure + interaction_rate)),renewal_pressure|interaction_rate|is_high_interaction,0.5001,0.5001
324,(log(age) * contract_ratio),age|usage_cluster|contract_ratio,0.5001,0.5001
326,(is_high_interaction)^2,is_high_interaction|usage_cluster,0.5001,0.5001
327,(sqrt(tenure) + new_inactive),tenure|test_1|new_inactive,0.5001,0.5001
328,sqrt(log(payment_interval)),payment_interval|usage_cluster|frequent,0.5001,0.5001
329,(freq(gender) - after_interaction),gender|after_interaction,0.4952,0.4952
330,(usage_cluster * gender_age_group),usage_cluster|gender_age_group,0.5001,0.5001
331,(((is_high_interaction)^2 * renewal_pressure) / frequent),is_high_interaction|after_interaction|renewal_pressure|frequent,0.4991,0.4991
332,(log(interaction_per_freq) - is_high_interaction),interaction_per_freq|usage_cluster|is_high_interaction,0.4991,0.4991
333,(freq(gender) + contract_ratio),gender|contract_ratio,0.4950,0.4950
334,(contract_length / usage_cluster),contract_length|usage_cluster,0.5001,0.5001
335,((vip_low_interaction + freq_per_tenure))^2,vip_low_interaction|freq_per_tenure|usage_cluster,0.4983,0.4983
337,(freq(subscription_type) / test_1),subscription_type|test_1,0.4972,0.4972
338,(((contract_ratio)^2 / gender_age_group) * test_1),contract_ratio|older_low_contract|gender_age_group|test_1,0.4981,0.4981
339,((is_older_group * contract_ratio) * interaction_rate),is_older_group|contract_ratio|interaction_rate,0.4951,0.4951
340,(log(contract_ratio) + test_1),contract_ratio|usage_cluster|test_1,0.5001,0.5001
341,(freq(gender) * usage_cluster),gender|usage_cluster,0.5001,0.5001
342,(payment_interval)^2,payment_interval|interaction_per_freq,0.5001,0.5001
343,log(sqrt(vip_low_interaction)),vip_low_interaction|test_2|renewal_pressure,0.5001,0.5001
344,(log(age) * payment_interval),age|older_low_contract|payment_interval,0.5001,0.5001
345,(((tenure + frequent) - is_older_group) + interaction_per_freq),tenure|frequent|is_older_group|interaction_per_freq,0.4999,0.4999
