trial,formula,used_features,f1_macro,metric
39,(sqrt(usage_cluster) + test_3),usage_cluster|payment_interval|test_3,0.5012,0.5012
40,(sqrt((interaction_rate)^2) - payment_interval),interaction_rate|vip_low_interaction|renewal_pressure|payment_interval,0.5000,0.5000
41,log(tenure),tenure|test_1,0.5014,0.5014
42,log(test_1),test_1|test_2,0.5014,0.5014
43,log(test_3),test_3|new_inactive,0.5014,0.5014
45,((payment_per_freq - after_interaction) / freq_per_tenure),payment_per_freq|after_interaction|freq_per_tenure,0.5026,0.5026
46,((is_high_interaction - new_inactive) / interaction_rate),is_high_interaction|new_inactive|interaction_rate,0.5007,0.5007
47,(freq(gender) / age),gender|age,0.5015,0.5015
49,(freq(gender) / test_3),gender|test_3,0.5001,0.5001
51,(freq(gender) + after_interaction),gender|after_interaction,0.4983,0.4983
52,(freq(gender) / frequent),gender|frequent,0.5006,0.5006
53,(freq(subscription_type) / new_inactive),subscription_type|new_inactive,0.5014,0.5014
54,(((test_4 - renewal_pressure) / tenure) / older_low_contract),test_4|renewal_pressure|tenure|older_low_contract,0.5014,0.5014
55,((vip_low_interaction - frequent) / interaction_rate),vip_low_interaction|frequent|interaction_rate,0.5015,0.5015
56,((frequent - payment_interval) / usage_cluster),frequent|payment_interval|usage_cluster,0.5009,0.5009
57,((((test_1 - older_low_contract) / tenure) * interaction_rate) - usage_cluster),test_1|older_low_contract|tenure|interaction_rate|usage_cluster,0.5002,0.5002
58,(freq(gender) + contract_length),gender|contract_length,0.4977,0.4977
59,((is_high_interaction - interaction_rate) / renewal_pressure),is_high_interaction|interaction_rate|renewal_pressure,0.5001,0.5001
60,(((payment_interval / test_1) / payment_per_freq) + renewal_pressure),payment_interval|test_1|payment_per_freq|renewal_pressure,0.5012,0.5012
61,((renewal_pressure - freq_per_tenure) * age),renewal_pressure|freq_per_tenure|age,0.5005,0.5005
62,((is_older_group - usage_cluster) - interaction_per_freq),is_older_group|usage_cluster|interaction_per_freq,0.5011,0.5011
63,((vip_low_interaction)^2 + age),vip_low_interaction|older_low_contract|age,0.5009,0.5009
64,(sqrt(log((renewal_pressure + interaction_rate))) + after_interaction),renewal_pressure|interaction_rate|freq_per_tenure|age|after_interaction,0.4992,0.4992
65,(sqrt(age))^2,age|frequent|test_1,0.5014,0.5014
66,sqrt(((interaction_per_freq * test_2) + freq_per_tenure)),interaction_per_freq|test_2|freq_per_tenure|age,0.5013,0.5013
67,(freq(gender) * is_older_group),gender|is_older_group,0.5014,0.5014
68,((new_inactive / gender_age_group) * test_4),new_inactive|gender_age_group|test_4,0.5010,0.5010
69,(((gender_age_group - payment_interval) / older_low_contract) + test_4),gender_age_group|payment_interval|older_low_contract|test_4,0.5010,0.5010
70,sqrt((test_4)^2),test_4|payment_interval|new_inactive,0.5014,0.5014
71,log(contract_length),contract_length|frequent,0.5014,0.5014
72,log(age),age|new_inactive,0.5014,0.5014
73,log(interaction_rate),interaction_rate|older_low_contract,0.5014,0.5014
74,(interaction_rate - test_1),interaction_rate|test_1,0.5005,0.5005
75,((renewal_pressure + test_3))^2,renewal_pressure|test_3|payment_interval,0.5012,0.5012
